id,label
187282,0
191602,0
180566,0
182197,0
189638,0
199600,0
182223,0
185912,0
203413,0
185184,0
191444,0
196951,0
199479,0
202432,0
181788,0
181957,0
184077,0
184417,0
186298,0
189126,0
190863,0
191799,0
192879,0
196110,0
201210,0
202072,0
177198,0
177266,0
180217,0
180314,0
180730,0
181336,0
181650,0
182365,0
182447,0
183105,0
184952,0
185242,0
185562,0
185678,0
185695,0
186032,0
187411,0
188853,0
189489,0
190785,0
191180,0
191232,0
192327,0
195510,0
197097,0
198659,0
199801,0
199928,0
200326,0
200999,0
202178,0
202437,0
202526,0
202771,0
203237,0
203358,0
203427,0
177169,0
178079,0
178240,0
178620,0
179454,0
179947,0
180149,0
180389,0
180425,0
180584,0
180721,0
181787,0
182074,0
182411,0
182434,0
182515,0
182629,0
182986,0
182988,0
183010,0
183050,0
183277,0
183720,0
183959,0
184076,0
184426,0
184529,0
184605,0
184883,0
185121,0
185156,0
185188,0
185224,0
185531,0
186035,0
186625,0
186684,0
186855,0
187009,0
187042,0
187105,0
188334,0
188800,0
188875,0
189768,0
190279,0
190613,0
191175,0
191327,0
191414,0
191561,0
191793,0
191835,0
192349,0
192720,0
192769,0
192821,0
193033,0
193329,0
193372,0
193741,0
195058,0
195956,0
196041,0
196127,0
197278,0
197402,0
197701,0
198817,0
198956,0
199324,0
199556,0
199574,0
199683,0
200363,0
201181,0
201227,0
201310,0
201876,0
201882,0
201961,0
201976,0
201998,0
202445,0
202554,0
202726,0
202980,0
203569,0
203749,0
203832,0
203849,0
177998,0
178135,0
179860,0
180124,0
180887,0
181140,0
181329,0
182160,0
183003,0
183871,0
184647,0
185447,0
185556,0
186428,0
187590,0
187813,0
187999,0
188444,0
188556,0
188615,0
188777,0
188787,0
188983,0
189144,0
189469,0
189992,0
190047,0
190229,0
191913,0
192372,0
193248,0
193327,0
193445,0
193970,0
194146,0
194213,0
194728,0
194754,0
196430,0
200722,0
201271,0
201651,0
202584,0
203607,0
177330,0
177501,0
178073,0
178125,0
178453,0
178676,0
179289,0
179359,0
179848,0
180458,0
180917,0
181325,0
181330,0
181369,0
181989,0
182370,0
182831,0
182870,0
182924,0
183066,0
183070,0
183453,0
183684,0
183759,0
183844,0
183989,0
183992,0
184069,0
184392,0
184459,0
184541,0
184554,0
184692,0
184812,0
184932,0
184995,0
185206,0
185228,0
185272,0
185359,0
185499,0
185604,0
185836,0
186221,0
186759,0
186928,0
187043,0
187212,0
187252,0
187392,0
187652,0
187741,0
188231,0
188630,0
188635,0
188698,0
188874,0
189100,0
189329,0
189449,0
189591,0
189703,0
189807,0
189826,0
190225,0
190749,0
192820,0
193037,0
193231,0
193809,0
193899,0
195043,0
195284,0
195719,0
196024,0
196176,0
196358,0
196630,0
196973,0
197833,0
198505,0
198576,0
199084,0
199227,0
199307,0
199623,0
199665,0
199975,0
200004,0
200355,0
200678,0
201263,0
201430,0
201785,0
201948,0
202361,0
202573,0
202827,0
203219,0
177165,0
177215,0
177451,0
177571,0
177837,0
178821,0
178827,0
178963,0
179350,0
179440,0
179555,0
179886,0
180294,0
180312,0
180318,0
180697,0
180775,0
180832,0
180902,0
180918,0
180942,0
181073,0
181184,0
181258,0
181424,0
181526,0
181817,0
181829,0
181839,0
182198,0
182375,0
182379,0
182608,0
182642,0
182679,0
182710,0
182722,0
182824,0
182935,0
183000,0
183017,0
183086,0
183325,0
183488,0
183587,0
183595,0
183738,0
183777,0
183864,0
183939,0
184121,0
184240,0
184277,0
184345,0
184610,0
184798,0
185534,0
185718,0
185772,0
